Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,Description
Geodude,300,40,80,100,30,30,20,"Under a full moon, this Pokemon likes to mimic the shadows of people and laugh at their fright."
Mega Geodude,300,40,80,100,30,30,20,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
Graveler,390,55,95,115,45,45,35,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
Mega Graveler,390,55,95,115,45,45,35,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
Golem,495,80,120,130,55,65,45,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
Mega Golem,495,80,120,130,55,65,45,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
Ponyta,410,50,85,55,65,65,90,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
Mega Ponyta,410,50,85,55,65,65,90,It stores electric energy under very high pressure. It often explodes with little or no provocation.
Rapidash,500,65,100,70,80,80,105,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
Mega Rapidash,500,65,100,70,80,80,105,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
Slowpoke,315,90,65,65,40,40,15,"Because it never removes its skull helmet, no one has ever seen this Pokemon's real face."
Mega Slowpoke,315,90,65,65,40,40,15,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
Slowbro,490,95,75,110,100,80,30,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
Mega Slowbro,590,95,75,180,130,80,30,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
Mega Slowbro X,490,95,100,95,100,70,30,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
Magnemite,325,25,35,70,95,55,45,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
Magneton,465,50,60,95,120,70,70,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
Farfetch'd,377,52,90,55,58,62,60,"A Pokemon with a one-track mind. Once it charges,  it won't stop running until it falls asleep."
Mega Farfetch'd,377,52,95,55,58,62,55,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
Doduo,310,35,85,45,35,35,75,A rare and elusive Pokemon that is said to bring happiness to those who manage to get it.
Dodrio,470,60,110,70,60,60,110,The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks.
Seel,325,65,45,55,45,70,45,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
Dewgong,475,90,70,80,70,95,70,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
Grimer,325,80,80,50,40,50,25,Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
Mega Grimer,325,80,80,50,40,50,25,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
Muk,500,105,105,75,65,100,50,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks."
Mega Muk,500,105,105,75,65,100,50,"If its body is torn, it can grow back if the red core remains. The core flashes at midnight."
Shellder,305,30,65,100,45,25,40,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.
Cloyster,525,50,95,180,85,45,70,"If interrupted while it is miming, it will slap around the offender with its broad hands."
Gastly,310,30,35,30,100,35,80,"With ninja-like agility and speed, it can create the illusion that there is more than one."
Haunter,405,45,50,45,115,55,95,It seductively wiggles its hips as it walks. It can cause people to dance in unison with it.
Gengar,500,60,65,60,130,75,110,"Normally found near power plants, they can wander away and cause major blackouts in cities."
Mega Gengar,600,60,65,80,170,95,130,Its body always burns with an orange glow that enables it to hide perfectly among flames.
Onix,385,35,45,160,30,45,70,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
Drowzee,328,60,48,45,43,90,42,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
Hypno,483,85,73,70,73,115,67,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
Krabby,325,30,105,90,25,25,50,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm."
Kingler,475,55,130,115,50,50,75,A Pokemon that has been over­ hunted almost to extinction. It can ferry people across the water.
Voltorb,330,40,30,50,55,55,100,Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy.
Electrode,490,60,50,70,80,80,150,Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.
Exeggcute,325,60,40,80,60,45,40,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's.
Exeggutor,530,95,95,85,125,75,55,It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts.
Mega Exeggutor,530,95,105,85,125,75,45,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
Cubone,320,50,50,95,40,50,35,A Pokemon that consists entirely of programming code. Capable of moving freely in cyberspace.
Marowak,425,60,80,110,50,80,45,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
Mega Marowak,425,60,80,110,50,80,45,A prehistoric Pokemon that died out when its heavy shell made it impossible to catch prey.
Hitmonlee,455,50,120,53,35,110,87,A Pokemon that was resurrected from a fossil found in what was once the ocean floor eons ago.
Hitmonchan,455,50,105,79,35,110,76,Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids.
Lickitung,385,90,55,75,60,75,30,A Pokemon that roamed the skies in the dinosaur era. Its teeth are like saw blades.
Koffing,340,40,65,95,60,45,35,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
Weezing,490,65,90,120,85,70,60,A legendary bird Pokemon that is said to appear to doomed people who are lost in icy mountains.
Mega Weezing,490,65,90,120,85,70,60,A legendary bird Pokemon that is said to appear from clouds while dropping enormous lightning bolts.
Rhyhorn,345,80,85,95,30,30,25,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.
Rhydon,485,105,130,120,45,45,40,Long considered a mythical Pokemon until recently when a small colony was found living underwater.
Chansey,450,250,5,5,35,105,50,A mystical Pokemon that exudes a gentle aura. Has the ability to change climate conditions.
Tangela,435,65,55,115,100,40,60,An extremely rarely seen marine Pokemon. Its intelligence is said to match that of humans.
Kangaskhan,490,105,95,80,40,80,90,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.
Mega Kangaskhan,590,105,125,100,60,100,100,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.
Horsea,295,30,40,70,70,25,60,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.
Seadra,440,55,65,95,95,45,85,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight."
Goldeen,320,45,67,60,35,50,63,The aroma that rises from its petals contains a substance that calms aggressive feelings.
Seaking,450,80,92,65,65,80,68,"It has a timid nature. If it is startled, the flames on its back burn more vigorously."
Staryu,340,30,45,55,70,55,85,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.
Starmie,520,60,75,85,100,85,115,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
Mr. Mime,460,40,45,65,100,120,90,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.
Mega Mr. Mime,460,50,65,65,90,90,100,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
Scyther,500,70,110,80,55,80,105,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
Jynx,455,65,50,35,115,95,95,"A very cautious Pokemon, it raises itself up using its tail to get a better view of its surroundings."
Electabuzz,490,65,83,57,95,85,105,It makes a nest to suit its long and skinny body. The nest is impossible for other Pokemon to enter.
Magmar,495,65,95,57,100,85,93,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
Pinsir,500,65,125,100,55,70,85,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.
Mega Pinsir,600,65,155,120,65,90,105,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.
Tauros,490,75,100,95,40,70,110,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
Magikarp,200,20,10,55,15,20,80,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
Gyarados,540,95,125,79,60,100,81,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.
Mega Gyarados,640,95,155,109,70,130,81,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.
Lapras,535,130,85,80,85,95,60,Chinchou blink their shining antennae at one another to claim their respective turf.
Ditto,288,48,48,48,48,48,48,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.
Eevee,325,55,55,50,45,65,55,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.
Mega Eevee,435,65,75,70,65,85,75,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor."
Vaporeon,525,130,65,60,110,95,65,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
Jolteon,525,65,65,60,110,95,130,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.
Flareon,525,65,130,60,95,110,65,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness."
Porygon,395,65,60,70,85,75,40,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something."
Omanyte,355,35,40,100,90,55,35,They say that it stays still and quiet because it is seeing both the past and future at the same time.
Omastar,495,70,60,125,115,70,55,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you."
Kabuto,355,30,80,90,55,45,55,"As a result of storing too much electricity, it developed patches where even downy wool won't grow."
Kabutops,495,60,115,105,65,70,80,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
Aerodactyl,515,80,105,65,60,75,130,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound."
Mega Aerodactyl,615,80,135,85,70,95,150,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning."
Snorlax,540,160,110,65,65,110,30,It lives in water virtually all day long. Its body color and pattern act as camouflage that makes it tough for enemies to spot in water.
Articuno,580,90,85,100,95,125,85,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant."
Mega Articuno,580,90,85,85,125,100,95,"If POLIWAG and POLIWHIRL hear its echoing cry, they respond by gather­ ing from far and wide."
Zapdos,580,90,90,85,125,90,100,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
Mega Zapdos,580,90,125,90,85,90,100,The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down.
Moltres,580,90,100,90,125,85,90,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world."
Mega Moltres,580,90,85,90,100,125,90,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
Dratini,300,41,64,45,50,50,50,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
Dragonair,420,61,84,65,70,70,70,"It converts sun­ light into energy. In the darkness after sunset, it closes its petals and becomes still."
Dragonite,600,91,134,95,100,100,80,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area."
Mewtwo,680,106,110,90,154,90,130,This Pokemon lives in cold water. It will leave the water to search for food when it gets cold outside.
Mega Mewtwo,780,106,190,100,154,100,130,"This carefree Pokemon has an easy-going nature. While swimming, it always bumps into boat hulls."
Mega Mewtwo X,780,106,150,70,194,120,140,It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions.
Mew,600,100,100,100,100,100,100,"When agitated, this Pokemon pro­ tects itself by spraying poisonous sweat from its pores."
Chikorita,318,45,49,65,49,65,45,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
Bayleef,405,60,62,80,63,80,60,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected."
Meganium,525,80,82,100,83,100,80,It likes playing mischievous tricks such as screaming and wailing to startle people at night.
Cyndaquil,309,39,52,43,60,50,65,Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related.
Quilava,405,58,64,58,80,65,80,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike."
Typhlosion,534,78,84,78,109,85,100,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
Totodile,314,50,65,64,44,48,43,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.
Croconaw,405,65,80,80,59,63,58,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.
Feraligatr,530,85,105,100,79,83,78,"When spotted, this Pokemon escapes backward by furi­ ously boring into the ground with its tail."
Sentret,215,35,46,34,35,45,20,It flies straight at its target's face then clamps down on the star­ tled victim to inject poison.
Furret,415,85,76,64,45,55,90,It is thought its body transformed as a result of iron accumulating internally from swallowing soil.
Hoothoot,262,60,30,30,36,56,50,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
Noctowl,452,100,50,50,86,96,70,"It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker."
Ledyba,265,40,20,30,40,80,55,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
Ledian,390,55,35,50,55,110,85,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.
Spinarak,250,40,60,40,40,40,30,The BERRIES it stores in its vase-like shell decompose and become a gooey liquid.
Ariados,400,70,90,70,60,70,40,"It is usually docile, but if it is disturbed while sipping honey, it chases off the intruder with its horn."
Crobat,535,85,90,80,70,80,130,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy."
Chinchou,330,75,38,38,56,56,67,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey."
Lanturn,460,125,58,58,76,76,67,"Although it is a good climber, it prefers to snap trees with its forelegs and eat fallen BERRIES."
Pichu,205,20,40,15,35,35,60,"It never sleeps. It has to keep moving because if it stopped, its magma body would cool and harden."
Cleffa,218,50,25,28,45,55,15,The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch.
Igglybuff,210,90,30,15,40,20,15,It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.
Togepi,245,35,20,65,40,65,20,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
Togetic,405,55,40,85,80,105,40,It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty.
Natu,320,40,50,45,70,45,70,It has superb ac­ curacy. The water it shoots out can strike even moving prey from more than 300 feet.
Xatu,470,65,75,70,95,70,95,It traps enemies with its suction- cupped tentacles then smashes them with its rock-hard head.
Mareep,280,55,40,40,65,45,35,It carries food all day long. There are tales about lost people who were saved by the food it had.
Flaaffy,365,70,55,55,80,60,45,"As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers."
Ampharos,510,90,75,85,115,90,55,"Its sturdy wings look heavy, but they are actually hollow and light, allowing it to fly freely in the sky."
Mega Ampharos,610,90,95,105,165,110,45,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.
Bellossom,490,75,80,95,90,100,50,"If you are burned by the flames it shoots from its mouth, the pain will never go away."
Marill,250,70,20,50,20,50,40,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.
Azumarill,420,100,50,80,60,80,50,"It swings its long snout around play­ fully, but because it is so strong, that can be dan­ gerous."
Sudowoodo,410,70,100,115,30,65,30,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house."
Politoed,500,90,75,75,90,100,70,"This upgraded version of PORYGON is designed for space exploration. It can't fly, though."
Hoppip,250,35,35,40,35,55,50,The curved antlers subtly change the flow of air to create a strange space where real­ ity is distorted.
Skiploom,340,55,45,50,45,65,80,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.
Jumpluff,460,75,55,70,55,95,110,"It is always bursting with en­ ergy. To make it­ self stronger, it keeps on fighting even if it loses."
Aipom,360,55,70,55,40,55,85,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard."
Sunkern,180,30,30,30,30,30,30,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.
Sunflora,425,75,75,55,105,85,30,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit."
Yanma,390,65,65,45,75,45,95,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils."
Wooper,210,55,45,45,25,25,15,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary."
Quagsire,430,95,85,85,65,65,35,Anyone who takes even one bite of BLISSEY's egg be­ comes unfailingly caring and pleas­ ant to everyone.
Espeon,525,65,65,60,130,95,110,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.
Umbreon,525,95,65,110,60,130,65,"Volcanoes erupt when it barks. Un­ able to restrain its extreme power, it races headlong around the land."
Murkrow,405,60,85,42,85,42,91,It races around the world to purify fouled water. It dashes away with the north wind.
Slowking,490,95,75,80,100,110,30,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
Mega Slowking,490,95,65,80,110,110,30,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain."
Misdreavus,435,60,60,60,85,85,85,"Its body can't be harmed by any sort of attack, so it is very eager to make challenges against enemies."
Unown,336,48,72,48,72,48,48,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.
Wobbuffet,405,190,33,58,33,58,33,Legends claim this Pokemon flies the world's skies con­ tinuously on its magnificent seven- colored wings.
Girafarig,455,70,80,65,90,65,85,This Pokemon wan­ ders across time. Grass and trees flourish in the forests in which it has appeared.
Pineco,290,50,65,90,35,35,15,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokemon attacks by slamming foes with its thick tail.
Forretress,465,75,90,140,60,60,40,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This Pokemon is a master at climbing trees in jungles.
Dunsparce,415,100,70,70,65,65,45,The leaves growing on SCEPTILE’s body are very sharp edged. This Pokemon is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.
